ts,Close,High,Low,Open,Volume,ma8,ma10,ma21,ma50,ma100,ma200,ema8,ema21,ema34,ema55,ema89,ema144,ema200,rsi21,macd,macd_sig,macd_hist,vma10,rvol10,vwap,atr14
2026-09-09 12:00:00-04:00,313.385,313.5,312.8601,313.17,715287,313.2422,313.9348,315.0296,317.0067,321.3738,320.8497,313.5752,314.7397,315.7586,317.2358,318.7277,319.4041,319.1487,37.4338,-1.156,-1.0445,-0.1115,1331193.3,0.5373,314.4921,1.064
2026-09-09 12:15:00-04:00,313.665,313.71,313.242,313.38,1560413,313.1066,313.5138,314.9061,316.8594,321.2597,320.8471,313.5952,314.642,315.6389,317.1083,318.6152,319.3249,319.0941,38.9146,-1.0953,-1.0546,-0.0407,1321735.3,1.1806,314.4083,1.0214
2026-09-09 12:30:00-04:00,314.34,314.38,313.44,313.68,920137,313.2441,313.3943,314.8256,316.722,321.1498,320.8476,313.7607,314.6146,315.5647,317.0094,318.5202,319.2561,319.0468,42.3672,-0.9814,-1.04,0.0585,1240478.6,0.7418,314.3908,1.0156
2026-09-09 12:45:00-04:00,314.01,314.365,313.58,314.3563,1004868,313.3235,313.3203,314.7154,316.5685,321.0304,320.8482,313.8161,314.5596,315.4759,316.9023,318.42,319.1838,318.9967,41.1727,-0.9074,-1.0135,0.1061,1185574.6,0.8476,314.3701,0.9991
2026-09-09 13:00:00-04:00,312.86,315.0,312.31,314.005,2985674,313.4035,313.2823,314.5473,316.4064,320.899,320.8415,313.6036,314.4051,315.3264,316.758,318.2964,319.0966,318.9357,37.3219,-0.9308,-0.9969,0.0662,1335684.8,2.2353,314.2409,1.1199
2026-09-09 13:15:00-04:00,311.705,313.11,310.97,312.835,3065240,313.3037,313.1153,314.368,316.2202,320.7531,320.8322,313.1817,314.1596,315.1195,316.5775,318.1499,318.9946,318.8637,33.9714,-1.0306,-1.0037,-0.0269,1525137.8,2.0098,313.9652,1.1928
2026-09-09 13:30:00-04:00,312.5176,313.34,311.05,311.72,2739380,313.2072,313.145,314.2245,316.0451,320.6249,320.8253,313.0341,314.0104,314.9708,316.4325,318.0248,318.9053,318.8006,38.078,-1.0323,-1.0094,-0.0229,1649247.6,1.661,313.8052,1.2712
2026-09-09 13:45:00-04:00,313.255,314.36,312.13,312.51,3083548,313.2172,313.2203,314.0895,315.8926,320.5074,320.8187,313.0832,313.9417,314.8727,316.319,317.9188,318.8273,318.7454,41.5423,-0.963,-1.0001,0.0371,1849051.8,1.6676,313.7507,1.3396
2026-09-09 14:00:00-04:00,310.08,313.79,310.08,313.255,3131780,312.8041,312.8993,313.8172,315.6672,320.3529,320.7825,312.4158,313.5906,314.5989,316.0962,317.7446,318.7067,318.6592,33.1562,-1.151,-1.0303,-0.1207,2017743.3,1.5521,313.5309,1.509
2026-09-09 14:15:00-04:00,312.13,313.43,309.9,310.06,5216878,312.6122,312.7948,313.6243,315.4765,320.2178,320.7593,312.3523,313.4578,314.4578,315.9545,317.6198,318.616,318.5942,41.203,-1.1216,-1.0485,-0.0731,2442320.5,2.136,313.3071,1.6533
2026-09-09 14:30:00-04:00,314.12,314.28,311.95,312.135,1571066,312.5847,312.8683,313.5181,315.3191,320.107,320.7474,312.7451,313.518,314.4385,315.889,317.542,318.554,318.5497,47.629,-0.9271,-1.0243,0.0971,2527898.4,0.6215,313.3125,1.7016
2026-09-09 14:45:00-04:00,316.66,319.15,313.76,314.1203,6623905,312.9159,313.1678,313.5567,315.2166,320.0237,320.747,313.6151,313.8037,314.5654,315.9166,317.5224,318.5278,318.5309,54.3198,-0.5615,-0.9317,0.3702,3034247.6,2.183,313.7548,1.9651
2026-09-09 15:00:00-04:00,315.8601,317.2,315.14,316.68,3167952,313.291,313.3198,313.4607,315.1202,319.9175,320.729,314.114,313.9906,314.6394,315.9145,317.4855,318.491,318.5043,52.1181,-0.3325,-0.8119,0.4794,3259029.1,0.9721,313.8977,1.9719
2026-09-09 15:15:00-04:00,315.57,316.36,315.16,315.8727,1525002,313.7741,313.4758,313.4624,315.0318,319.806,320.7033,314.4376,314.1342,314.6926,315.9022,317.4429,318.4507,318.4751,51.3259,-0.1724,-0.684,0.5116,3311042.5,0.4606,313.9497,1.9167
2026-09-09 15:30:00-04:00,315.77,315.89,314.88,315.56,1558908,314.1806,313.7668,313.511,314.9969,319.6824,320.6779,314.7336,314.2829,314.7542,315.8975,317.4058,318.4138,318.4482,51.8556,-0.0291,-0.553,0.5239,3168365.9,0.492,313.9946,1.852
2026-09-09 15:45:00-04:00,315.41,315.9439,315.02,315.76,3409801,314.45,314.1373,313.6143,314.9671,319.5393,320.6452,314.8839,314.3854,314.7916,315.8801,317.3614,318.3723,318.418,50.8104,0.0548,-0.4314,0.4863,3202822.0,1.0646,314.081,1.7857
2026-09-10 09:30:00-04:00,319.93,323.129,316.57,316.79,9486570,315.6813,314.8785,313.9264,315.048,319.4555,320.6359,316.0053,314.8894,315.0853,316.0247,317.4185,318.3938,318.433,61.1371,0.4805,-0.2491,0.7296,3877541.0,2.4465,319.8763,2.2095
2026-09-10 09:45:00-04:00,318.929,321.18,317.84,319.94,2899854,316.5311,315.4459,314.2459,315.1132,319.3649,320.6231,316.655,315.2567,315.3049,316.1285,317.4521,318.4012,318.4379,58.2914,0.7287,-0.0535,0.7822,3859171.6,0.7514,319.7452,2.2902
2026-09-10 10:00:00-04:00,319.34,320.0,318.11,318.76,2171735,317.1836,316.3719,314.5715,315.1782,319.2536,320.6117,317.2517,315.6279,315.5355,316.2432,317.494,318.4142,318.4469,59.1119,0.9476,0.1467,0.8009,3763167.1,0.5771,319.6564,2.2617
2026-09-10 10:15:00-04:00,318.955,320.0,318.7511,319.3331,1254936,317.4705,317.0544,314.8413,315.2378,319.1449,320.6016,317.6302,315.9303,315.7309,316.34,317.5265,318.4216,318.452,57.9899,1.0776,0.3329,0.7447,3366972.9,0.3727,319.623,2.1893
2026-09-10 10:30:00-04:00,320.065,320.85,318.88,319.01,1636874,317.9961,317.6489,315.1694,315.3151,319.0487,320.5988,318.1713,316.3062,315.9785,316.473,317.5829,318.4443,318.468,60.2727,1.2558,0.5175,0.7383,3373553.7,0.4852,319.652,2.1737
2026-09-10 10:45:00-04:00,323.0101,323.19,319.79,320.06,2772470,318.9261,318.2839,315.6277,315.4503,318.9811,320.6097,319.2466,316.9157,316.3803,316.7065,317.7035,318.5073,318.5132,65.496,1.616,0.7372,0.8788,2988410.2,0.9277,319.9734,2.2612
2026-09-10 11:00:00-04:00,321.94,323.37,321.77,323.04,2429494,319.6974,318.8919,316.0218,315.5608,318.9003,320.6155,319.8451,317.3724,316.698,316.8934,317.7976,318.5546,318.5473,62.3676,1.7944,0.9486,0.8458,2914564.4,0.8336,320.2294,2.214
2026-09-10 11:15:00-04:00,323.71,323.82,321.6,321.92,1874576,320.7349,319.7059,316.4679,315.7134,318.8367,320.6354,320.704,317.9486,317.0987,317.1369,317.929,318.6257,318.5987,65.2503,2.0549,1.1699,0.885,2949521.8,0.6356,320.4445,2.2144
2026-09-10 11:30:00-04:00,322.49,324.35,322.38,323.67,2760039,321.0549,320.3779,316.8717,315.8513,318.7633,320.6507,321.1009,318.3614,317.4068,317.3281,318.0304,318.679,318.6374,61.8229,2.1383,1.3636,0.7747,3069634.9,0.8991,320.7104,2.197
2026-09-10 11:45:00-04:00,319.57,322.63,319.22,322.4656,3229762,321.135,320.7939,317.1913,315.921,318.6696,320.6501,320.7607,318.4713,317.5304,317.4081,318.0646,318.6913,318.6467,54.6135,1.9463,1.4801,0.4662,3051631.0,1.0584,320.6853,2.2836
2026-09-10 12:00:00-04:00,320.135,320.49,319.21,319.565,1935656,321.2344,320.8144,317.5927,316.0019,318.5898,320.6526,320.6216,318.6225,317.6792,317.5055,318.1106,318.7112,318.6615,55.6639,1.8188,1.5479,0.271,2296539.6,0.8429,320.6411,2.2119
2026-09-10 12:15:00-04:00,321.905,321.92,319.96,320.135,1702119,321.6031,321.112,318.0397,316.1202,318.5316,320.6644,320.9068,318.9209,317.9207,317.6626,318.1949,318.7553,318.6938,58.8004,1.8394,1.6062,0.2332,2176766.1,0.7819,320.6721,2.1939
2026-09-10 12:30:00-04:00,324.4899,324.73,321.26,321.855,2790808,322.1562,321.627,318.5747,316.2863,318.5073,320.6889,321.7031,319.4272,318.2961,317.9065,318.3348,318.8344,318.7514,62.8323,2.0407,1.6931,0.3477,2238673.4,1.2466,320.8852,2.2851
2026-09-10 12:45:00-04:00,323.35,324.83,323.03,324.475,2619911,322.1987,322.0665,319.2066,316.4279,318.4718,320.7065,322.0691,319.7838,318.5849,318.1009,318.4463,318.8967,318.7972,60.1086,2.0843,1.7713,0.313,2375170.9,1.103,321.074,2.2504
2026-09-10 13:00:00-04:00,323.55,323.99,322.85,323.3543,1297239,322.4,322.415,319.7504,316.5737,318.434,320.7261,322.3981,320.1262,318.8686,318.2955,318.5597,318.9608,318.8445,60.4246,2.1106,1.8392,0.2714,2341207.4,0.5541,321.1498,2.1711
2026-09-10 13:15:00-04:00,324.822,324.865,323.42,323.565,1672939,322.539,322.5962,320.2601,316.7495,318.411,320.7525,322.9368,320.5531,319.2088,318.5286,318.6988,319.0417,318.904,62.4133,2.2087,1.9131,0.2956,2231254.3,0.7498,321.2765,2.1193
