ticker,strategy,side,grade,train_n,train_win_rate,train_avg_win_R,train_expectancy_R,train_profit_factor,train_max_dd_R,test_n,test_win_rate,test_avg_win_R,test_expectancy_R,test_profit_factor,test_max_dd_R
ABBV,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABBV,retest,long,B (thin),10,0.2,1.9665411499084615,-0.43299284158901863,0.47598659073992844,6.311662609399022,3,0.6666666666666666,1.9438272697958463,0.9516062096527791,3.7640582589810476,1.0328359106333553
ABBV,retest,short,B (thin),3,0.3333333333333333,1.9064210117047964,-0.06155690450149979,0.911686937842951,2.0910917252092958,0,0.0,0.0,0.0,0.0,0.0
BAC,pullback,long,B (thin),1,0.0,0.0,-1.027073770735747,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BAC,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0349109826853151,0.0,0.0
BAC,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BAC,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BAC,retest,long,B (thin),4,0.5,1.966203644867071,0.46832445277971935,1.909761151883316,1.0320357078795177,3,0.6666666666666666,1.1070379046884553,0.39289062168320904,2.1383691085081065,0.0
BAC,retest,short,B (thin),1,0.0,0.0,-1.038150959517907,0.0,0.0,1,0.0,0.0,-1.0183165038780981,0.0,0.0
CSCO,pullback,long,B (thin),2,0.5,1.9534928749917542,0.4562985010784699,1.8767418778129452,1.0408958728348143,0,0.0,0.0,0.0,0.0,0.0
CSCO,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CSCO,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CSCO,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CSCO,retest,long,B (thin),12,0.4166666666666667,1.9566846364240607,0.20522906669870458,1.3364100999395219,4.14237015729493,5,0.2,1.9727142662515305,-0.42275026745947314,0.48274339187838117,2.050593926613849
CSCO,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
