strategy,side,adx_min,exit,train_n,train_wr,train_exp,train_pf,train_mae,train_mfe,test_n,test_wr,test_exp,test_pf,test_mae,test_mfe
breakout,short,25,trail3.0,60,0.16666666666666666,0.06505504022098832,1.0726939023200137,-0.19380866034836633,1.3565005828833772,30,0.2,-0.3635067821480372,0.5745257131902276,-0.09880669046147193,1.1055997715224022
retest,long,0,fixed2.0,11101,0.3614088820826952,0.020487606481105765,1.031131463781285,-1.2808472441712768,1.44435093980598,5125,0.3633170731707317,0.027590994839099228,1.042379485088049,-1.2826585094077585,1.4295981441707395
retest,long,0,fixed3.0,10585,0.30033065658951347,0.06798695046446956,1.0945182290163973,-1.3757515929897792,1.6758879142319696,4860,0.3022633744855967,0.06649457054777172,1.093449864895367,-1.360350652972058,1.651444187721483
retest,long,0,trail2.5,10507,0.2514514133434853,0.08199416504087204,1.1061278905504792,-1.4278752054269523,2.474236207286636,4907,0.2512736906460159,0.026976598888545558,1.0356894780935366,-1.389119945234235,2.3838714323367167
retest,long,0,trail3.0,9943,0.23282711455295182,0.14473950354426102,1.176946397065416,-1.4841720218282566,2.670794908600117,4582,0.23505019642077696,0.13657504076955124,1.1731510617532328,-1.424196343630059,2.621199742673064
retest,long,20,fixed2.0,5071,0.3640307631630842,0.02214395776781722,1.0337754300207342,-1.2605013995436192,1.4363280837962016,2193,0.3752849977200182,0.06488227478789459,1.1018398296215604,-1.2477012921607318,1.4410317064070992
retest,long,20,fixed3.0,4913,0.3002238957866884,0.05299320948530028,1.0735842334741974,-1.3619389094579684,1.6760219191165036,2121,0.3088165959453088,0.09661688661056893,1.137554733122994,-1.3363839336797312,1.6529651544609076
retest,long,20,trail2.5,4875,0.24861538461538463,0.025938518118334353,1.0333362647699662,-1.4219942574491715,2.4461047634307267,2110,0.2563981042654028,0.013162914175556423,1.0176724870254514,-1.3752866552966714,2.391860431555444
retest,long,20,trail3.0,4734,0.22729193071398396,0.0852419751393363,1.1033570621170932,-1.4809357838727213,2.6367369845743434,2044,0.2353228962818004,0.15350300621968208,1.1969044026885918,-1.4148075734406382,2.6715465611463842
retest,long,25,fixed2.0,2572,0.3759720062208398,0.061792296061099074,1.0961560815405225,-1.2399211912003207,1.4551567715961238,1034,0.3781431334622824,0.0833676126670019,1.1319625422779702,-1.2301211438104251,1.458273730175356
retest,long,25,fixed3.0,2506,0.30726256983240224,0.09181076032320615,1.1289491186551444,-1.3451866836642707,1.7135591102789791,1010,0.3099009900990099,0.10481422958265467,1.1501486102954157,-1.3315492432983482,1.6678787683876495
retest,long,25,trail2.5,2493,0.2547131969514641,0.04862235606478726,1.0638582293228123,-1.3998689741423735,2.470332457878221,1003,0.2502492522432702,0.05593064137527918,1.075054004020827,-1.3657364008607351,2.444529667517569
retest,long,25,trail3.0,2442,0.2362817362817363,0.10973550476288609,1.1349437908810105,-1.4653862294241966,2.6700770195095145,978,0.2331288343558282,0.19380659874516096,1.2469057868300704,-1.413588660838767,2.70221071555519
retest,short,0,fixed2.0,7444,0.30897367006985493,-0.13405124836914523,0.8092839740032017,-0.20756065266516208,0.3442148830580286,3296,0.2858009708737864,-0.21096918617135554,0.7088216723373542,-0.1766172029771572,0.32044730074123867
retest,short,0,fixed3.0,7124,0.24943851768669287,-0.13843885859700145,0.8181824338816912,-0.2261818098430449,0.5325422078619618,3162,0.23118279569892472,-0.22878859067023288,0.7064989918391261,-0.19273945367438364,0.47249455661714396
retest,short,0,trail2.5,7215,0.20083160083160084,-0.2760646631430123,0.6641727319683111,-0.20401018020805112,1.0463894595652303,3180,0.1861635220125786,-0.34971028814442673,0.5738804690252612,-0.17826055197714233,0.907067428998428
retest,short,0,trail3.0,6826,0.18077937298564312,-0.309493395637382,0.6434809468309362,-0.22734578720627932,1.1583896841891648,3010,0.1700996677740864,-0.35226354985923064,0.589084903033012,-0.19317387006807965,1.0175994322824382
retest,short,20,fixed2.0,3065,0.30505709624796085,-0.14609876353631956,0.7934994488058219,-0.21300467561805123,0.33487190354125357,1302,0.2926267281105991,-0.18186465915362504,0.7461568031231972,-0.18636827744894882,0.30868072939505076
retest,short,20,fixed3.0,2972,0.24663526244952894,-0.15016968800607144,0.8037746066409587,-0.23397455858615776,0.5198220546544159,1264,0.23655063291139242,-0.1838589577557647,0.7615706943625535,-0.20345116223140003,0.48126061277527715
retest,short,20,trail2.5,2951,0.1880718400542189,-0.3024421582612589,0.6364564355324539,-0.21143360078848975,1.0272366477676695,1253,0.18754988028731046,-0.3320375551189898,0.603588688670881,-0.18931614262132154,0.9584560065474721
retest,short,20,trail3.0,2883,0.17065556711758584,-0.3492576473520552,0.6014823792831612,-0.23320973889545316,1.1130850217883654,1216,0.17598684210526316,-0.3205180318870646,0.6306808041895026,-0.20155854263287287,1.1031271414290638
